"Type","Tweet"
sus_benign,That would be an edge case of an edge case but consider this
con_benign,aaaaaaaaaaaaaaaaaaaaa
con_benign,congratulation you won $1000
con_benign,is this a spam
sus_spam,hello world
con_spam,your IRS refund is pending
sus_spam,That would be an edge case of an edge case but consider this
sus_spam,"19 states are fighting for us, almost unheard of support!"
con_spam,congratulation you won $1000
con_spam,congratulation you won $1000
sus_spam,congratulation you won $1000
con_spam,congratulation you won $1000
con_benign,Teslaquilla. Please make this happen!
con_benign,How will you pay for that?
sus_benign,It will work with organizations dealing with the broad spectrum of health issues affecting youth today
sus_benign,how about this
con_spam,test on Jan 16
con_benign,hello world
con_spam,"Before I took office, I set a big goal of administering 100 million shots in the first 100 days"
sus_spam,"Before I took office, I set a big goal of administering 100 million shots in the first 100 days"
con_spam,Before moving forward after a crisis
con_spam,Winter at Giga Texas
sus_spam,hello world
con_benign,Tyler Perry's The Oval has returned and will take you on a crazy and wild ride. Watch the Season 2
sus_spam,If the top whale wallet is Robinhood then I think #Dogecoin has a clear trajectory to the moon
con_benign,"I have spent just $80 on maintenance (minus tires/rotations) on my Model 3 over 36,000 miles"
sus_benign,"Before moving forward after a crisis, show gratitude for the sacrifices people have made"
sus_benign,"the difficulties they¡¯ve endured, and the trauma and grief they¡¯ve experienced."
con_benign,Research shows that a strong work identity can be tied to your wellbeing. So what happens when you lose that?
con_spam,Some NYC homeowners in poorer neighborhoods are paying 7 times the effective property tax as people that own luxury apartments in Manhattan
sus_spam,Property tax reform is one of the great opportunities to unlock billions of dollars of value and make NYC fairer and more equitable
con_benign,That would be an edge case of an edge case but consider this
con_spam,I am honored to accept the endorsement of the Uptown Democratic Club
sus_benign,Their advocacy for a progressive Harlem is inspiring and much needed. Thank you for your support! Together
sus_benign,hello world
con_spam,hello world
sus_benign,a simple test
sus_benign,this is another test
sus_spam,test for word cloud
sus_spam,test for word cloud
sus_spam,test for word cloud
sus_benign,I want to change the background color of the embeded matplotlob graph
sus_benign,I want to change the background color of the embeded matplotlob graph
sus_benign,try this test
sus_spam,try to save plot
sus_benign,test this 
sus_benign,test if img displays
sus_spam,spam world cloud
sus_benign,show me the money
sus_benign,let's have a look
sus_spam,congratulation you won $1000
sus_benign,hello world
sus_benign,hello world
sus_benign,Falcon 9¡¯s first stage has landed on the Of Course I Still Love You droneship
sus_benign,Congrats to  @MrEddieHuang  on a great achievement and a labor of love - Evelyn and I loved seeing characters on screen that we have never seen before
con_spam,Means a lot especially since I was reactive to your essay last year
con_spam,achievement and a labor of love
sus_benign,achievement and a labor of love
con_spam,on a great achievement and a labor of love
sus_benign,Mindfulness is the perfect awareness technique to employ when a conflict arises and wreaks havoc on our brains
con_spam,How to create custom schemas for your marketing data in BigQuery?
sus_benign,That would be an edge case of an edge case but consider this
con_benign,congratulation you won $1000
con_spam,The obvious ¡ª but often overlooked ¡ª value of self-aware leadership.
con_benign,"Omnipotence, cultural numbness, and justified neglect."
sus_benign,"Omnipotence, cultural numbness, and justified neglect."
sus_benign,"Omnipotence, cultural numbness, and justified neglect."
con_benign,"Things are sounding really good here. Listen to the first sounds of wind captured by my SuperCam microphone. This mic is located at the top of my mast. For this recording, my mast was still down so the sound is a bit muffled."
con_benign,"When high-flying hazes of ice are illuminated by sunlight from beyond the horizon, they are seen as shimmery noctilucent clouds."
con_benign,40 ideas for small bathrooms ¨C decor inspiration and design advice for compact and tiny washrooms
con_benign,40 ideas for small bathrooms ¨C decor inspiration and design advice for compact and tiny washrooms
con_spam,@pstuff_net @Rodrigo91765601 @bad_rock9 @sametmax4 @Massan_titslove @gurasu2005 @sex_fantacy @SELFIE1111 Follow????@mysexygirls001 @CandeeLace @skyebluewantsu @StefaniTarrago  https://t.co/o0GIdLlTky
sus_benign,40 ideas for small bathrooms ¨C decor inspiration and design advice for compact and tiny washrooms
sus_benign,The Knicks play the Nets tonight.
